id,cad_number,received_datetime,entry_datetime,dispatch_datetime,enroute_datetime,onscene_datetime,close_datetime,call_type_original,call_type_original_desc,call_type_original_notes,call_type_final,call_type_final_desc,call_type_final_notes,priority_original,priority_final,agency,disposition,onview_flag,sensitive_call,intersection_name,intersection_id,intersection_point,supervisor_district,analysis_neighborhood,police_district,call_last_updated_at,data_as_of,data_loaded_at,Analysis Neighborhoods
33211967,251143142,2025/04/24 09:25:15 PM,2025/04/24 09:25:15 PM,2025/04/24 09:25:15 PM,2025/04/24 09:25:15 PM,2025/04/24 09:25:15 PM,2025/04/24 09:33:22 PM,585,TRAFFIC STOP,,585,TRAFFIC STOP,,B,B,Police,CIT,Y,true,,,,,,,2025/04/24 09:33:24 PM,2025/04/26 08:54:08 PM,2025/04/26 08:55:43 PM,
33212420,251143263,2025/04/24 10:23:36 PM,2025/04/24 10:23:36 PM,2025/04/24 10:23:36 PM,2025/04/24 10:23:36 PM,2025/04/24 10:23:36 PM,2025/04/24 10:28:01 PM,585,TRAFFIC STOP,,585,TRAFFIC STOP,,B,B,Police,ADV,Y,true,,,,,,,2025/04/24 10:28:02 PM,2025/04/26 08:54:08 PM,2025/04/26 08:55:43 PM,
33212842,251143339,2025/04/24 11:04:00 PM,2025/04/24 11:04:00 PM,2025/04/24 11:04:00 PM,2025/04/24 11:04:00 PM,2025/04/24 11:04:00 PM,2025/04/24 11:08:47 PM,903,PASSING CALL,,903,PASSING CALL,,C,C,Police,HAN,Y,true,,,,,,,2025/04/24 11:08:48 PM,2025/04/26 08:54:08 PM,2025/04/26 08:55:43 PM,
33214266,251150184,2025/04/25 02:14:58 AM,2025/04/25 02:14:58 AM,2025/04/25 02:14:58 AM,2025/04/25 02:14:58 AM,2025/04/25 02:14:58 AM,2025/04/25 02:19:41 AM,903,PASSING CALL,,903,PASSING CALL,,C,C,Police,HAN,Y,true,,,,,,,2025/04/25 02:19:44 AM,2025/04/26 08:54:08 PM,2025/04/26 08:55:43 PM,
33215078,251150340,2025/04/25 05:25:03 AM,2025/04/25 05:25:03 AM,2025/04/25 05:25:03 AM,2025/04/25 05:25:03 AM,2025/04/25 05:25:03 AM,2025/04/25 05:47:39 AM,903,PASSING CALL,,903,PASSING CALL,,C,C,Police,HAN,Y,true,,,,,,,2025/04/25 05:47:41 AM,2025/04/26 08:54:08 PM,2025/04/26 08:55:43 PM,
33217745,251151092,2025/04/25 10:32:04 AM,2025/04/25 10:33:47 AM,2025/04/25 10:39:02 AM,2025/04/25 10:39:02 AM,,,106J,Psych escort,,106J,Psych escort,,B,B,Sheriff,,N,true,,,,,,,2025/04/25 10:39:04 AM,2025/04/26 08:54:08 PM,2025/04/26 08:55:43 PM,
33218013,251151071,2025/04/25 10:27:43 AM,2025/04/25 10:27:43 AM,2025/04/25 10:27:43 AM,2025/04/25 10:27:43 AM,2025/04/25 10:27:43 AM,2025/04/25 10:58:50 AM,903,PASSING CALL,,903,PASSING CALL,,C,C,Police,,Y,true,,,,,,,2025/04/25 10:58:52 AM,2025/04/26 08:54:08 PM,2025/04/26 08:55:43 PM,
33219598,251151518,2025/04/25 12:40:03 PM,2025/04/25 12:40:03 PM,2025/04/25 12:40:03 PM,2025/04/25 12:40:03 PM,2025/04/25 12:40:03 PM,2025/04/25 12:51:56 PM,903,PASSING CALL,,903,PASSING CALL,,C,C,Police,,Y,true,,,,,,,2025/04/25 12:51:58 PM,2025/04/26 08:54:08 PM,2025/04/26 08:55:43 PM,
33220324,251151726,2025/04/25 01:40:26 PM,2025/04/25 01:40:26 PM,2025/04/25 01:40:26 PM,2025/04/25 01:40:26 PM,2025/04/25 01:40:26 PM,2025/04/25 01:41:56 PM,903,PASSING CALL,,903,PASSING CALL,,C,C,Police,CIT,Y,true,,,,,,,2025/04/25 01:41:58 PM,2025/04/26 08:54:08 PM,2025/04/26 08:55:43 PM,
33220606,251150936,2025/04/25 09:43:22 AM,2025/04/25 09:43:22 AM,2025/04/25 09:43:22 AM,2025/04/25 09:43:22 AM,2025/04/25 09:43:22 AM,2025/04/25 01:58:39 PM,903,PASSING CALL,,903,PASSING CALL,,C,C,Police,HAN,Y,true,,,,,,,2025/04/25 01:58:40 PM,2025/04/26 08:54:08 PM,2025/04/26 08:55:43 PM,
